,Item_Identifier,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
540,FDG50,Low Fat,0.015334003,Canned,92.7146,OUT018,2009,Tier 3,Supermarket Type2,1185.7898
541,DRZ11,Regular,0.112119359,Soft Drinks,123.0388,OUT027,1985,Tier 3,Supermarket Type3,1981.4208
542,FDU58,Regular,0.0,Snack Foods,186.4898,OUT045,2002,Tier 2,Supermarket Type1,2993.4368
543,FDI56,Low Fat,0.092933158,Fruits and Vegetables,91.0146,OUT027,1985,Tier 3,Supermarket Type3,3466.1548
544,NCQ05,Low Fat,0.0,Health and Hygiene,149.2708,OUT017,2007,Tier 2,Supermarket Type1,2407.5328
545,FDX36,Regular,0.128176489,Baking Goods,224.8404,OUT013,1987,Tier 3,Supermarket Type1,3600.6464
546,FDP49,Regular,0.0,Breakfast,55.2614,OUT018,2009,Tier 3,Supermarket Type2,552.614
547,FDA01,Regular,0.054488534,Canned,57.5904,OUT045,2002,Tier 2,Supermarket Type1,468.7232
548,FDE29,Low Fat,0.142436015,Frozen Foods,62.3878,OUT027,1985,Tier 3,Supermarket Type3,1514.695
549,FDK45,LF,0.033858187,Seafood,113.386,OUT046,1997,Tier 1,Supermarket Type1,2603.278
550,DRI39,Low Fat,0.097043739,Dairy,57.493,OUT035,2004,Tier 2,Supermarket Type1,1358.232
551,NCB43,Low Fat,0.099428487,Household,187.8898,OUT027,1985,Tier 3,Supermarket Type3,7296.5022
552,FDD03,Low Fat,0.079791176,Dairy,232.73,OUT035,2004,Tier 2,Supermarket Type1,2796.36
553,FDK51,Low Fat,0.005234153,Dairy,264.0884,OUT035,2004,Tier 2,Supermarket Type1,5829.7448
554,FDY34,Regular,0.01100413,Snack Foods,167.1842,OUT045,2002,Tier 2,Supermarket Type1,2984.1156
555,FDO52,Regular,0.077100381,Frozen Foods,172.4106,OUT013,1987,Tier 3,Supermarket Type1,1539.9954
556,FDD05,Low Fat,0.016611475,Frozen Foods,122.0098,OUT046,1997,Tier 1,Supermarket Type1,2651.2156
557,DRC01,Regular,0.019278216,Soft Drinks,48.2692,OUT018,2009,Tier 3,Supermarket Type2,443.4228
558,FDZ25,Regular,0.02748331,Canned,169.379,OUT027,1985,Tier 3,Supermarket Type3,5602.707
559,NCG42,Low Fat,0.041395775,Household,129.731,OUT018,2009,Tier 3,Supermarket Type2,1298.31
560,FDV15,Low Fat,0.146767897,Meat,102.3648,OUT018,2009,Tier 3,Supermarket Type2,1557.972
561,FDW07,Regular,0.142978223,Fruits and Vegetables,87.4514,OUT045,2002,Tier 2,Supermarket Type1,796.9626
562,FDR12,Regular,0.031663212,Baking Goods,173.2764,OUT018,2009,Tier 3,Supermarket Type2,1030.6584
563,FDA10,LF,0.248301532,Snack Foods,124.1072,OUT019,1985,Tier 1,Grocery Store,245.0144
564,FDA44,Low Fat,0.053330653,Fruits and Vegetables,56.793,OUT045,2002,Tier 2,Supermarket Type1,848.895
565,FDE40,Regular,0.098663652,Dairy,62.9194,OUT027,1985,Tier 3,Supermarket Type3,2105.2596
566,FDU59,Low Fat,0.096306016,Breads,161.9552,OUT013,1987,Tier 3,Supermarket Type1,2111.9176
567,DRI51,Low Fat,0.042233642,Dairy,173.3764,OUT035,2004,Tier 2,Supermarket Type1,2061.3168
568,FDJ32,Low Fat,0.057744249,Fruits and Vegetables,61.2536,OUT013,1987,Tier 3,Supermarket Type1,673.7896
569,NCK29,Low Fat,0.0,Health and Hygiene,125.173,OUT027,1985,Tier 3,Supermarket Type3,3572.017
570,DRJ23,Low Fat,0.041904578,Hard Drinks,188.1872,OUT017,2007,Tier 2,Supermarket Type1,4159.9184
571,FDU01,Regular,0.011937183,Canned,184.7924,OUT027,1985,Tier 3,Supermarket Type3,4442.2176
572,NCP41,Low Fat,0.028382853,Health and Hygiene,109.4596,OUT019,1985,Tier 1,Grocery Store,647.1576
573,FDX21,LF,0.084949955,Snack Foods,109.7912,OUT035,2004,Tier 2,Supermarket Type1,1091.912
574,FDZ09,Low Fat,0.105472205,Snack Foods,165.6868,OUT017,2007,Tier 2,Supermarket Type1,3111.9492
575,NCC42,Low Fat,0.044908404,Health and Hygiene,140.2838,OUT046,1997,Tier 1,Supermarket Type1,1404.838
576,FDC10,Regular,0.072990979,Snack Foods,121.6098,OUT049,1999,Tier 1,Supermarket Type1,1566.6274
577,FDR02,Low Fat,0.022099982,Dairy,110.1886,OUT049,1999,Tier 1,Supermarket Type1,1334.2632
578,FDR55,Regular,0.131973625,Fruits and Vegetables,187.9872,OUT013,1987,Tier 3,Supermarket Type1,2458.1336
579,NCF07,Low Fat,0.032072321,Household,102.2016,OUT049,1999,Tier 1,Supermarket Type1,1416.8224
580,FDN60,Low Fat,0.095696334,Baking Goods,159.7604,OUT017,2007,Tier 2,Supermarket Type1,2693.8268
581,FDT55,Regular,0.043743689,Fruits and Vegetables,157.7946,OUT045,2002,Tier 2,Supermarket Type1,1104.5622
582,FDB23,Regular,0.00978492,Starchy Foods,225.9062,OUT019,1985,Tier 1,Grocery Store,451.4124
583,FDS39,Low Fat,0.022441883,Meat,143.8812,OUT013,1987,Tier 3,Supermarket Type1,2707.1428
584,FDN02,Low Fat,0.073977473,Canned,206.8638,OUT045,2002,Tier 2,Supermarket Type1,2070.638
585,FDU08,LF,0.027183141,Fruits and Vegetables,99.7042,OUT027,1985,Tier 3,Supermarket Type3,3868.9638
586,FDV32,Low Fat,0.089069748,Fruits and Vegetables,62.751,OUT018,2009,Tier 3,Supermarket Type2,1707.777
587,FDO11,Regular,0.050657232,Breads,249.9092,OUT010,1998,Tier 3,Grocery Store,249.0092
588,FDK25,Regular,0.157075658,Breakfast,166.6474,OUT049,1999,Tier 1,Supermarket Type1,4211.185
589,FDE46,Low Fat,0.015766712,Snack Foods,152.9366,OUT035,2004,Tier 2,Supermarket Type1,1662.5026
590,FDD10,Regular,0.045982389,Snack Foods,177.0344,OUT013,1987,Tier 3,Supermarket Type1,535.3032
591,FDR15,reg,0.033489979,Meat,156.6314,OUT049,1999,Tier 1,Supermarket Type1,1241.0512
592,FDY07,Low Fat,0.0,Fruits and Vegetables,45.2402,OUT018,2009,Tier 3,Supermarket Type2,1148.505
593,FDR60,Low Fat,0.13030659,Baking Goods,75.7328,OUT013,1987,Tier 3,Supermarket Type1,617.8624
594,FDS13,Low Fat,0.21799414,Canned,266.5884,OUT019,1985,Tier 1,Grocery Store,1324.942
595,FDJ09,low fat,0.0,Snack Foods,47.2744,OUT035,2004,Tier 2,Supermarket Type1,679.116
596,FDL12,Regular,0.121043709,Baking Goods,59.422,OUT027,1985,Tier 3,Supermarket Type3,1078.596
597,FDM60,Regular,0.0,Baking Goods,40.7138,OUT017,2007,Tier 2,Supermarket Type1,406.138
598,FDJ26,Regular,0.08511049,Canned,215.7218,OUT018,2009,Tier 3,Supermarket Type2,1923.4962
599,NCQ38,Low Fat,0.013363902,Others,106.128,OUT035,2004,Tier 2,Supermarket Type1,1917.504
600,FDI28,Low Fat,0.026299797,Frozen Foods,79.4302,OUT013,1987,Tier 3,Supermarket Type1,1743.0644
601,FDI16,Regular,0.135775701,Frozen Foods,54.564,OUT046,1997,Tier 1,Supermarket Type1,1597.92
602,FDL20,Low Fat,0.224837308,Fruits and Vegetables,112.7886,OUT019,1985,Tier 1,Grocery Store,222.3772
603,FDE14,Regular,0.031418984,Canned,99.27,OUT013,1987,Tier 3,Supermarket Type1,2596.62
604,NCA54,Low Fat,0.036715907,Household,180.0318,OUT045,2002,Tier 2,Supermarket Type1,3969.4996
605,DRH39,Low Fat,0.09261307,Dairy,76.367,OUT013,1987,Tier 3,Supermarket Type1,306.268
606,FDH32,Low Fat,0.076045655,Fruits and Vegetables,96.541,OUT035,2004,Tier 2,Supermarket Type1,3765.099
607,FDG05,Regular,0.087421738,Frozen Foods,154.463,OUT027,1985,Tier 3,Supermarket Type3,2972.797
608,FDV07,Low Fat,0.031131455,Fruits and Vegetables,111.0228,OUT027,1985,Tier 3,Supermarket Type3,3205.1612
609,FDZ51,Regular,0.054637635,Meat,93.3094,OUT049,1999,Tier 1,Supermarket Type1,3046.7008
610,DRZ24,Low Fat,0.0,Soft Drinks,121.644,OUT045,2002,Tier 2,Supermarket Type1,1557.972
611,FDF34,Regular,0.014098693,Snack Foods,197.7084,OUT017,2007,Tier 2,Supermarket Type1,3372.9428
612,FDC40,Regular,0.065051586,Dairy,76.1986,OUT035,2004,Tier 2,Supermarket Type1,1090.5804
613,FDF41,Low Fat,0.131921819,Frozen Foods,246.346,OUT017,2007,Tier 2,Supermarket Type1,739.038
614,FDO08,Regular,0.053765212,Fruits and Vegetables,163.1526,OUT035,2004,Tier 2,Supermarket Type1,1808.9786
615,DRH51,Low Fat,0.170213676,Dairy,89.5856,OUT019,1985,Tier 1,Grocery Store,175.7712
616,FDK16,Low Fat,0.114771298,Frozen Foods,93.9094,OUT027,1985,Tier 3,Supermarket Type3,3903.5854
617,FDL48,Regular,0.082250863,Baking Goods,48.7034,OUT035,2004,Tier 2,Supermarket Type1,534.6374
618,FDP28,Regular,0.08062523,Frozen Foods,259.6936,OUT035,2004,Tier 2,Supermarket Type1,2087.9488
619,FDN21,LF,0.076483451,Snack Foods,163.1236,OUT027,1985,Tier 3,Supermarket Type3,2416.854
620,NCM17,Low Fat,0.071425647,Health and Hygiene,45.9086,OUT018,2009,Tier 3,Supermarket Type2,1070.6064
621,NCD43,Low Fat,0.016052446,Household,106.7964,OUT045,2002,Tier 2,Supermarket Type1,1367.5532
622,NCN43,Low Fat,0.006770252,Others,124.473,OUT049,1999,Tier 1,Supermarket Type1,1231.73
623,FDI21,Regular,0.056328717,Snack Foods,63.9168,OUT027,1985,Tier 3,Supermarket Type3,1597.92
624,DRF36,LF,0.023625114,Soft Drinks,189.3846,OUT045,2002,Tier 2,Supermarket Type1,3630.6074
625,FDI57,Low Fat,0.053764023,Seafood,195.7768,OUT027,1985,Tier 3,Supermarket Type3,3547.3824
626,FDT14,Regular,0.128247408,Dairy,121.844,OUT018,2009,Tier 3,Supermarket Type2,2277.036
627,FDB35,Regular,0.113139486,Starchy Foods,92.9804,OUT019,1985,Tier 1,Grocery Store,183.7608
628,FDV35,Low Fat,0.128206001,Breads,155.9314,OUT046,1997,Tier 1,Supermarket Type1,3878.285
629,FDC21,Regular,0.075215349,Fruits and Vegetables,108.4254,OUT019,1985,Tier 1,Grocery Store,217.0508
630,NCB55,Low Fat,0.160529322,Household,59.2562,OUT013,1987,Tier 3,Supermarket Type1,296.281
631,FDL33,Low Fat,0.10016525,Snack Foods,193.9452,OUT045,2002,Tier 2,Supermarket Type1,2936.178
632,FDE23,Regular,0.053288857,Starchy Foods,47.306,OUT045,2002,Tier 2,Supermarket Type1,605.878
633,NCD55,Low Fat,0.040725405,Household,43.4454,OUT010,1998,Tier 3,Grocery Store,41.9454
634,NCL41,Low Fat,0.041737627,Health and Hygiene,33.1216,OUT046,1997,Tier 1,Supermarket Type1,519.324
635,DRJ51,Low Fat,0.087920675,Dairy,228.5668,OUT013,1987,Tier 3,Supermarket Type1,1151.834
636,FDI41,Regular,0.062205112,Frozen Foods,148.3418,OUT013,1987,Tier 3,Supermarket Type1,1765.7016
637,NCC30,Low Fat,0.027556247,Household,176.6344,OUT013,1987,Tier 3,Supermarket Type1,1962.7784
638,FDA36,Low Fat,0.005661669,Baking Goods,186.5924,OUT013,1987,Tier 3,Supermarket Type1,2591.2936
639,DRL37,Low Fat,0.053113721,Soft Drinks,44.377,OUT027,1985,Tier 3,Supermarket Type3,1211.756
640,FDF16,Low Fat,0.086060695,Frozen Foods,149.8076,OUT013,1987,Tier 3,Supermarket Type1,2808.3444
641,FDG20,Regular,0.210375806,Fruits and Vegetables,178.2028,OUT010,1998,Tier 3,Grocery Store,177.1028
642,FDR60,Low Fat,0.129783577,Baking Goods,78.2328,OUT027,1985,Tier 3,Supermarket Type3,1004.0264
643,FDQ08,Regular,0.018926773,Fruits and Vegetables,60.2536,OUT035,2004,Tier 2,Supermarket Type1,1163.8184
644,FDX46,Regular,0.058207114,Snack Foods,59.1562,OUT049,1999,Tier 1,Supermarket Type1,1185.124
645,FDN15,Low Fat,0.028009382,Meat,141.718,OUT010,1998,Tier 3,Grocery Store,419.454
646,FDQ39,Low Fat,0.081042136,Meat,192.4846,OUT046,1997,Tier 1,Supermarket Type1,5159.2842
647,FDK25,Regular,0.156072361,Breakfast,169.3474,OUT027,1985,Tier 3,Supermarket Type3,3874.2902
648,NCQ29,Low Fat,0.0,Health and Hygiene,262.3278,OUT017,2007,Tier 2,Supermarket Type1,1561.9668
649,NCK17,Low Fat,0.03786331,Health and Hygiene,40.948,OUT013,1987,Tier 3,Supermarket Type1,319.584
650,FDP33,Low Fat,0.0,Snack Foods,256.6672,OUT018,2009,Tier 3,Supermarket Type2,3068.0064
651,DRF23,Low Fat,0.205294827,Hard Drinks,172.8396,OUT010,1998,Tier 3,Grocery Store,174.4396
652,FDU57,Regular,0.089735804,Snack Foods,148.7708,OUT045,2002,Tier 2,Supermarket Type1,2708.4744
653,FDQ10,Low Fat,0.03324652,Snack Foods,172.4422,OUT045,2002,Tier 2,Supermarket Type1,4483.4972
654,FDH40,Regular,0.078929571,Frozen Foods,79.9276,OUT046,1997,Tier 1,Supermarket Type1,1137.1864
655,FDI02,Regular,0.11454343,Canned,113.7202,OUT035,2004,Tier 2,Supermarket Type1,3263.0858
656,NCK53,Low Fat,0.062903297,Health and Hygiene,100.4042,OUT010,1998,Tier 3,Grocery Store,595.2252
657,FDV28,Regular,0.160379061,Frozen Foods,33.6558,OUT018,2009,Tier 3,Supermarket Type2,203.7348
658,FDY15,Regular,0.17179432,Dairy,154.663,OUT017,2007,Tier 2,Supermarket Type1,2659.871
659,NCB07,Low Fat,0.129731747,Household,196.211,OUT010,1998,Tier 3,Grocery Store,589.233
660,FDR27,Regular,0.095635061,Meat,130.7942,OUT027,1985,Tier 3,Supermarket Type3,3047.3666
661,FDS10,Low Fat,0.0350152,Snack Foods,182.0318,OUT027,1985,Tier 3,Supermarket Type3,5954.2494
662,FDK55,Low Fat,0.02586664,Meat,88.9172,OUT018,2009,Tier 3,Supermarket Type2,1695.1268
663,FDL38,Regular,0.014661762,Canned,89.1172,OUT027,1985,Tier 3,Supermarket Type3,2319.6472
664,FDU39,LF,0.036037952,Meat,58.4562,OUT046,1997,Tier 1,Supermarket Type1,711.0744
665,FDV51,Low Fat,0.054463442,Meat,163.8842,OUT010,1998,Tier 3,Grocery Store,165.7842
666,FDQ27,Regular,0.044321422,Meat,103.899,OUT049,1999,Tier 1,Supermarket Type1,2889.572
667,DRK47,Low Fat,0.06406438,Hard Drinks,229.2694,OUT046,1997,Tier 1,Supermarket Type1,1826.9552
668,FDN34,Regular,0.045835395,Snack Foods,168.2132,OUT049,1999,Tier 1,Supermarket Type1,2367.5848
669,FDR10,Low Fat,0.010037996,Snack Foods,163.5552,OUT035,2004,Tier 2,Supermarket Type1,3086.6488
670,FDH10,Low Fat,0.049066248,Snack Foods,192.4478,OUT027,1985,Tier 3,Supermarket Type3,8912.3988
671,DRN37,Low Fat,0.0,Soft Drinks,166.5158,OUT049,1999,Tier 1,Supermarket Type1,3509.4318
672,FDT49,Low Fat,0.151279591,Canned,107.028,OUT013,1987,Tier 3,Supermarket Type1,2876.256
673,FDT27,Regular,0.069529262,Meat,233.1616,OUT013,1987,Tier 3,Supermarket Type1,6093.4016
674,NCL18,Low Fat,0.168531813,Household,192.5136,OUT017,2007,Tier 2,Supermarket Type1,2916.204
675,NCF30,Low Fat,0.126244059,Household,124.6362,OUT046,1997,Tier 1,Supermarket Type1,3900.9222
676,FDH35,Low Fat,0.0,Starchy Foods,164.7526,OUT045,2002,Tier 2,Supermarket Type1,4604.6728
677,DRH51,Low Fat,0.097198194,Dairy,89.8856,OUT035,2004,Tier 2,Supermarket Type1,351.5424
678,FDW46,Regular,0.070288365,Snack Foods,64.3484,OUT035,2004,Tier 2,Supermarket Type1,2218.4456
679,FDL38,Regular,0.014720848,Canned,89.9172,OUT013,1987,Tier 3,Supermarket Type1,1516.6924
680,FDZ46,Low Fat,0.069231189,Snack Foods,112.1228,OUT049,1999,Tier 1,Supermarket Type1,1215.7508
681,FDU39,Low Fat,0.036031137,Meat,60.4562,OUT035,2004,Tier 2,Supermarket Type1,1125.8678
682,FDG56,reg,0.071743629,Fruits and Vegetables,59.7536,OUT018,2009,Tier 3,Supermarket Type2,918.804
683,NCP50,Low Fat,0.0,Others,79.2618,OUT018,2009,Tier 3,Supermarket Type2,966.7416
684,NCT29,Low Fat,0.112249603,Health and Hygiene,123.3414,OUT019,1985,Tier 1,Grocery Store,243.6828
685,FDY28,Regular,0.0,Frozen Foods,211.8218,OUT045,2002,Tier 2,Supermarket Type1,6411.654
686,FDN08,Regular,0.0,Fruits and Vegetables,117.7466,OUT018,2009,Tier 3,Supermarket Type2,1296.3126
687,FDB12,Regular,0.105471384,Baking Goods,105.8648,OUT049,1999,Tier 1,Supermarket Type1,1973.4312
688,NCO06,Low Fat,0.107507291,Household,34.8558,OUT027,1985,Tier 3,Supermarket Type3,441.4254
689,NCQ38,Low Fat,0.013393537,Others,106.028,OUT045,2002,Tier 2,Supermarket Type1,1065.28
690,FDH41,Low Fat,0.081996013,Frozen Foods,216.2534,OUT035,2004,Tier 2,Supermarket Type1,4301.068
691,FDU58,Regular,0.029006239,Snack Foods,186.0898,OUT035,2004,Tier 2,Supermarket Type1,2619.2572
692,FDC14,Regular,0.041482394,Canned,40.0454,OUT017,2007,Tier 2,Supermarket Type1,209.727
693,DRY23,Regular,0.109713464,Soft Drinks,41.3112,OUT017,2007,Tier 2,Supermarket Type1,255.6672
694,FDV10,Regular,0.116793684,Snack Foods,41.0112,OUT019,1985,Tier 1,Grocery Store,42.6112
695,FDF56,Regular,0.119704498,Fruits and Vegetables,181.9976,OUT045,2002,Tier 2,Supermarket Type1,5432.928
696,FDB11,Low Fat,0.060942632,Starchy Foods,225.6404,OUT049,1999,Tier 1,Supermarket Type1,2925.5252
697,FDR26,Low Fat,0.043011277,Dairy,177.2028,OUT018,2009,Tier 3,Supermarket Type2,3364.9532
698,DRH49,Low Fat,0.024655594,Soft Drinks,84.3592,OUT046,1997,Tier 1,Supermarket Type1,743.0328
699,FDP16,Low Fat,0.039517121,Frozen Foods,243.6802,OUT017,2007,Tier 2,Supermarket Type1,5896.3248
700,FDX01,LF,0.024262772,Canned,117.615,OUT018,2009,Tier 3,Supermarket Type2,1514.695
701,NCE43,Low Fat,0.17314115,Household,168.4448,OUT010,1998,Tier 3,Grocery Store,170.4448
702,FDA28,Regular,0.047570401,Frozen Foods,125.7362,OUT027,1985,Tier 3,Supermarket Type3,3020.0688
703,NCL18,Low Fat,0.167844438,Household,193.9136,OUT049,1999,Tier 1,Supermarket Type1,3110.6176
704,DRG48,Low Fat,0.014484582,Soft Drinks,143.9102,OUT027,1985,Tier 3,Supermarket Type3,3062.0142
705,FDH44,Regular,0.025924623,Fruits and Vegetables,148.0418,OUT045,2002,Tier 2,Supermarket Type1,3825.6868
706,FDR08,Low Fat,0.065872936,Fruits and Vegetables,113.1886,OUT019,1985,Tier 1,Grocery Store,111.1886
707,NCF43,Low Fat,0.051936086,Household,142.947,OUT035,2004,Tier 2,Supermarket Type1,3006.087
708,FDS35,Low Fat,0.11184963,Breads,64.6826,OUT017,2007,Tier 2,Supermarket Type1,774.9912
709,FDW35,Low Fat,0.011111714,Breads,43.8454,OUT045,2002,Tier 2,Supermarket Type1,671.1264
710,FDR20,Regular,0.028180789,Fruits and Vegetables,46.8744,OUT045,2002,Tier 2,Supermarket Type1,905.488
711,FDT60,Low Fat,0.07554831,Baking Goods,121.9388,OUT046,1997,Tier 1,Supermarket Type1,3219.8088
712,DRP35,Low Fat,0.09079168,Hard Drinks,127.1336,OUT013,1987,Tier 3,Supermarket Type1,3579.3408
713,FDT09,Regular,0.012282366,Snack Foods,132.5284,OUT049,1999,Tier 1,Supermarket Type1,1713.7692
714,FDV46,Low Fat,0.022074764,Snack Foods,141.418,OUT019,1985,Tier 1,Grocery Store,559.272
715,FDA33,Low Fat,0.033899898,Snack Foods,146.9076,OUT046,1997,Tier 1,Supermarket Type1,2956.152
716,FDC47,Low Fat,0.208162156,Snack Foods,228.1694,OUT019,1985,Tier 1,Grocery Store,228.3694
717,FDS37,Low Fat,0.05346916,Canned,114.1492,OUT010,1998,Tier 3,Grocery Store,115.8492
718,NCF31,Low Fat,0.051804278,Household,150.2024,OUT013,1987,Tier 3,Supermarket Type1,1821.6288
719,DRK35,Low Fat,0.071832909,Hard Drinks,36.1506,OUT035,2004,Tier 2,Supermarket Type1,721.0614
720,DRN35,Low Fat,0.070356805,Hard Drinks,36.8532,OUT049,1999,Tier 1,Supermarket Type1,755.0172
721,FDR57,Regular,0.023496967,Snack Foods,156.1288,OUT046,1997,Tier 1,Supermarket Type1,2828.3184
722,FDX57,reg,0.047458754,Snack Foods,95.8068,OUT018,2009,Tier 3,Supermarket Type2,1263.6884
723,FDG10,Regular,0.010886324,Snack Foods,57.2588,OUT027,1985,Tier 3,Supermarket Type3,801.6232
724,NCO05,Low Fat,0.046333982,Health and Hygiene,97.2384,OUT027,1985,Tier 3,Supermarket Type3,2660.5368
725,FDQ21,Low Fat,0.019423232,Snack Foods,120.8756,OUT046,1997,Tier 1,Supermarket Type1,3150.5656
726,FDE33,Regular,0.086905536,Fruits and Vegetables,78.8644,OUT019,1985,Tier 1,Grocery Store,314.2576
727,FDI24,Low Fat,0.137870237,Baking Goods,175.037,OUT019,1985,Tier 1,Grocery Store,352.874
728,FDL38,reg,0.014730322,Canned,90.9172,OUT035,2004,Tier 2,Supermarket Type1,2141.2128
729,NCO06,Low Fat,0.108030434,Household,32.4558,OUT046,1997,Tier 1,Supermarket Type1,101.8674
730,FDV04,Regular,0.150248468,Frozen Foods,155.2288,OUT049,1999,Tier 1,Supermarket Type1,1257.0304
731,FDS16,Regular,0.0,Frozen Foods,145.276,OUT027,1985,Tier 3,Supermarket Type3,5273.136
732,FDH20,Regular,0.024999711,Fruits and Vegetables,97.841,OUT045,2002,Tier 2,Supermarket Type1,1255.033
733,FDZ40,Low Fat,0.04026424,Frozen Foods,52.6298,OUT045,2002,Tier 2,Supermarket Type1,808.947
734,FDO36,Low Fat,0.077899109,Baking Goods,177.766,OUT035,2004,Tier 2,Supermarket Type1,2696.49
735,FDV13,Regular,0.02747716,Canned,87.9856,OUT027,1985,Tier 3,Supermarket Type3,3251.7672
736,FDL16,Low Fat,0.16871476,Frozen Foods,47.306,OUT049,1999,Tier 1,Supermarket Type1,1071.938
737,FDO57,Low Fat,0.108879177,Snack Foods,161.5578,OUT049,1999,Tier 1,Supermarket Type1,320.9156
738,NCO55,Low Fat,0.090596378,Others,106.6938,OUT027,1985,Tier 3,Supermarket Type3,2251.0698
739,DRJ11,Low Fat,0.0,Hard Drinks,188.9872,OUT017,2007,Tier 2,Supermarket Type1,1323.6104
740,FDV08,Low Fat,0.028456456,Fruits and Vegetables,43.5454,OUT027,1985,Tier 3,Supermarket Type3,755.0172
741,FDK36,LF,0.00720931,Baking Goods,48.1034,OUT013,1987,Tier 3,Supermarket Type1,1069.2748
742,FDZ03,Regular,0.13187274,Dairy,188.024,OUT010,1998,Tier 3,Grocery Store,745.696
743,NCX06,Low Fat,0.015687045,Household,182.6976,OUT046,1997,Tier 1,Supermarket Type1,3440.8544
744,FDS20,Low Fat,0.053822086,Fruits and Vegetables,183.8292,OUT013,1987,Tier 3,Supermarket Type1,2554.0088
745,DRD60,Low Fat,0.03723211,Soft Drinks,183.1634,OUT046,1997,Tier 1,Supermarket Type1,5634.6654
746,FDN08,Regular,0.088543868,Fruits and Vegetables,117.5466,OUT045,2002,Tier 2,Supermarket Type1,824.9262
747,FDD10,Regular,0.046280998,Snack Foods,177.4344,OUT017,2007,Tier 2,Supermarket Type1,1962.7784
748,DRM48,Low Fat,0.113072194,Soft Drinks,35.8848,OUT049,1999,Tier 1,Supermarket Type1,596.5568
749,FDX19,Low Fat,0.096653315,Fruits and Vegetables,235.1958,OUT013,1987,Tier 3,Supermarket Type1,4673.916
750,FDI19,Low Fat,0.052085615,Meat,242.8512,OUT027,1985,Tier 3,Supermarket Type3,5816.4288
751,FDY27,Low Fat,0.03187163,Dairy,179.5344,OUT013,1987,Tier 3,Supermarket Type1,4103.9912
752,FDC17,Low Fat,0.015457803,Frozen Foods,209.9928,OUT035,2004,Tier 2,Supermarket Type1,5259.82
753,NCC07,Low Fat,0.023951149,Household,105.6964,OUT046,1997,Tier 1,Supermarket Type1,1577.946
754,FDH56,Regular,0.11173569,Fruits and Vegetables,115.9492,OUT019,1985,Tier 1,Grocery Store,115.8492
755,FDA11,Low Fat,0.043238822,Baking Goods,92.5436,OUT046,1997,Tier 1,Supermarket Type1,1701.7848
756,NCO30,Low Fat,0.027532258,Household,185.0608,OUT019,1985,Tier 1,Grocery Store,551.2824
757,NCD18,Low Fat,0.072655379,Household,229.8668,OUT035,2004,Tier 2,Supermarket Type1,4837.7028
758,FDX03,Regular,0.106971167,Meat,44.7744,OUT019,1985,Tier 1,Grocery Store,135.8232
759,DRA24,Regular,0.039990314,Soft Drinks,165.0868,OUT049,1999,Tier 1,Supermarket Type1,982.7208
760,NCC07,Low Fat,0.023988387,Household,104.5964,OUT049,1999,Tier 1,Supermarket Type1,1262.3568
761,DRZ11,Regular,0.112571187,Soft Drinks,122.0388,OUT013,1987,Tier 3,Supermarket Type1,1609.9044
762,NCV41,Low Fat,0.028519419,Health and Hygiene,109.2228,OUT010,1998,Tier 3,Grocery Store,221.0456
763,NCT06,Low Fat,0.038816115,Household,166.4842,OUT045,2002,Tier 2,Supermarket Type1,1326.2736
764,FDV20,Regular,0.059894378,Fruits and Vegetables,125.9678,OUT049,1999,Tier 1,Supermarket Type1,2797.6916
765,FDP58,Low Fat,0.135692831,Snack Foods,220.0482,OUT018,2009,Tier 3,Supermarket Type2,2628.5784
766,FDV31,LF,0.0,Fruits and Vegetables,175.237,OUT049,1999,Tier 1,Supermarket Type1,3881.614
767,NCP30,Low Fat,0.032610007,Household,37.4822,OUT027,1985,Tier 3,Supermarket Type3,942.7728
768,FDQ11,Regular,0.06797671,Breads,257.4988,OUT018,2009,Tier 3,Supermarket Type2,3083.9856
769,NCR53,Low Fat,0.14526636,Health and Hygiene,224.0404,OUT049,1999,Tier 1,Supermarket Type1,3375.606
770,FDW38,Regular,0.138008431,Dairy,54.8298,OUT027,1985,Tier 3,Supermarket Type3,1348.245
771,NCU05,Low Fat,0.098312421,Health and Hygiene,81.4618,OUT010,1998,Tier 3,Grocery Store,161.1236
772,FDP10,Low Fat,0.127983545,Snack Foods,107.6622,OUT013,1987,Tier 3,Supermarket Type1,1270.3464
773,NCZ06,Low Fat,0.094308058,Household,251.8698,OUT049,1999,Tier 1,Supermarket Type1,3551.3772
774,DRL01,Regular,0.076798609,Soft Drinks,231.8958,OUT027,1985,Tier 3,Supermarket Type3,8413.0488
775,FDS07,Low Fat,0.100322104,Fruits and Vegetables,113.7518,OUT017,2007,Tier 2,Supermarket Type1,2049.3324
776,FDW09,Regular,0.025795293,Snack Foods,80.2302,OUT027,1985,Tier 3,Supermarket Type3,2139.2154
777,FDW44,Regular,0.035222503,Fruits and Vegetables,170.1448,OUT045,2002,Tier 2,Supermarket Type1,1874.8928
778,FDM02,Regular,0.073735058,Canned,87.1198,OUT046,1997,Tier 1,Supermarket Type1,1657.1762
779,FDI26,Low Fat,0.061082177,Canned,180.0344,OUT019,1985,Tier 1,Grocery Store,892.172
